0,0.000000,0.892983,0.920260,1.016001
0,1.000000,0.892983,0.920260,1.016001
0,2.000000,0.891585,0.917250,1.017032
0,3.000000,0.891585,0.917250,1.017032
0,4.000000,0.900459,0.928152,1.014426
0,5.000000,0.923537,0.954110,1.017772
0,6.000000,1.008937,1.047918,1.083266
0,7.000000,1.064677,1.106428,1.134492
0,8.000000,1.140308,1.190784,1.215090
0,9.000000,1.234578,1.295801,1.322693
0,10.000000,1.326584,1.387018,1.449708
0,20.000000,2.683110,2.847028,2.980911
0,30.000000,4.339825,4.643221,4.789548
0,40.000000,6.019598,6.546720,6.243951
0,50.000000,8.062051,8.863384,7.997714
0,60.000000,10.472851,11.514874,9.982456
0,70.000000,13.678800,14.921811,12.894277
0,80.000000,17.931122,19.448227,16.399532
0,90.000000,23.219680,25.236284,20.135368
0,91.000000,23.829797,25.894260,20.569930
0,92.000000,24.641759,26.807369,21.035998
0,93.000000,25.177664,27.454934,21.408716
0,94.000000,26.124899,28.423537,22.013820
0,95.000000,26.769565,29.109611,22.454097
0,96.000000,27.725000,30.111912,23.229384
0,97.000000,28.642486,31.151959,23.585013
0,98.000000,28.628365,31.141622,23.581307
0,99.000000,28.613890,31.101101,23.605446
0,100.000000,28.594912,31.085419,23.571464
1,0.000000,0.882891,0.909514,1.004712
1,1.000000,28.501382,30.981743,23.544189
2,0.000000,0.833265,0.861229,0.941416
2,1.000000,27.190892,29.636361,22.317025
3,0.000000,6.298387,6.861566,6.484915
3,10.000000,6.615561,6.836910,6.276658
3,20.000000,6.905470,6.776654,5.978721
3,30.000000,7.282505,6.772771,5.742332
3,40.000000,7.633496,6.756067,5.298019
3,50.000000,7.983805,6.767820,4.956483
3,60.000000,8.404954,6.750627,4.618422
3,70.000000,8.955672,6.830891,4.240545
3,80.000000,9.535949,6.893734,3.722770
3,90.000000,10.407008,7.074980,3.243246
3,100.000000,11.260299,7.227855,2.601605
4,0.000000,18.679935,20.277637,17.084471
4,10.000000,17.656326,20.507655,14.818079
4,20.000000,16.986663,20.871877,13.004817
4,30.000000,16.663240,21.589977,11.438244
4,40.000000,16.425438,22.211321,10.378641
4,50.000000,16.092491,22.546992,9.585022
4,60.000000,15.695503,22.585451,8.753621
4,70.000000,15.854584,23.451831,8.043849
4,80.000000,15.542645,23.481141,7.017720
4,90.000000,15.572811,24.138139,6.083173
4,100.000000,15.606608,24.648963,5.592230
5,0.000000,3.179394,3.406161,3.518935
5,10.000000,3.264066,3.412845,4.110550
5,20.000000,3.396017,3.472537,4.695205
5,30.000000,3.490602,3.527931,5.252912
5,40.000000,3.532465,3.492554,5.861013
5,50.000000,3.634297,3.442447,6.740687
5,60.000000,3.958089,3.619592,8.218525
5,70.000000,4.245400,3.727232,9.893887
5,80.000000,4.625079,3.811168,12.262970
5,90.000000,5.647704,4.229315,17.618424
5,100.000000,5.431614,4.109426,17.849748
6,0.000000,11.216994,7.198915,2.589214
6,1.000000,15.581024,24.612631,5.584150
6,2.000000,5.569778,4.141402,18.261130
6,3.000000,21.508848,30.190122,26.254163
6,4.000000,16.846736,10.696258,23.110854
6,5.000000,24.701107,28.790839,6.714557
7,3.000000,13.053391,12.131769,14.851536
7,4.000000,13.032471,12.126824,14.775935
7,5.000000,13.126175,12.192843,14.893120
7,6.000000,12.945339,11.988196,14.834627
7,7.000000,12.837960,11.829924,15.035825
7,8.000000,12.725442,11.633664,14.980081
7,9.000000,12.395145,11.210005,14.776101
7,10.000000,12.230554,11.008124,14.748008
7,11.000000,12.187154,10.980432,14.708073
7,12.000000,12.119416,10.904015,14.679836
7,13.000000,12.108182,10.921996,14.658904
7,14.000000,12.110517,10.946479,14.616438
7,15.000000,12.057058,10.872256,14.613808
7,16.000000,12.213563,11.087192,14.651182
7,17.000000,12.265645,11.211149,14.602611
7,18.000000,12.084954,10.875281,14.791092
7,19.000000,12.976620,12.070787,14.876020
7,20.000000,12.991360,12.077757,14.854608
7,21.000000,12.993357,12.083978,14.892589
7,22.000000,10.708035,9.421045,13.318370
7,23.000000,10.658221,9.401241,13.618185
7,24.000000,10.675765,9.460100,13.330439
7,25.000000,10.815920,9.563280,13.721685
7,26.000000,10.875392,9.737198,13.539162
7,27.000000,10.375909,9.064972,12.933358
7,28.000000,9.816709,8.326364,13.077471
7,29.000000,9.160824,7.726769,12.175138
7,30.000000,10.248908,9.023270,13.853377
7,31.000000,12.476521,11.523621,14.869463
7,32.000000,12.325681,11.194265,14.664388
7,33.000000,12.677200,11.677224,14.859642
7,34.000000,12.976322,11.982790,15.321934
7,35.000000,12.945400,11.865402,15.310812
7,36.000000,12.973544,11.869437,15.263377
7,37.000000,12.619570,11.411561,15.176480
7,38.000000,13.432888,12.423705,15.738961
7,39.000000,13.524759,12.614193,15.226102
7,40.000000,13.298510,12.400098,15.181125
7,41.000000,13.274805,12.383167,15.132885
7,42.000000,13.270693,12.378857,15.138222
7,43.000000,13.409177,12.427577,15.142390
7,44.000000,13.257238,12.364529,15.123171
7,45.000000,13.275227,12.382908,15.142106
7,46.000000,13.272091,12.381867,15.137191
7,47.000000,6.494634,8.623630,7.792143
7,48.000000,3.927929,2.703146,8.348991
7,49.000000,11.131902,11.526354,14.891608
7,50.000000,13.256103,12.369403,15.111522
7,51.000000,13.256706,12.372309,15.105820
7,52.000000,13.245397,12.361718,15.080638
